title,release_year,episodes,ratings,netflix,viki,prime_video,disney_plus
Kingdom Season 1,2019,6,8.8,no,no,no,no
Love With Flaws,2019,32,7.4,no,no,no,no
The Secret Life of My Secretary,2019,32,8,yes,yes,no,no
My Country: The New Age,2019,16,8.4,yes,no,no,no
My Fellow Citizens,2019,36,7.5,no,no,no,no
Voice 3,2019,16,8.4,yes,no,no,no
Babel (Korean Drama),2019,17,7.2,no,yes,no,no
Home for Summer,2019,128,7.2,no,no,no,no
Be Melodramatic,2019,16,8.3,yes,yes,no,no
Unasked Family,2019,123,7.3,no,no,no,no
Gracious Revenge,2019,103,7.2,no,no,no,no
The Tale of Nokdu,2019,32,8.3,no,yes,no,no
Want a Taste?,2019,120,6.9,no,no,no,no
Item (Korean Drama),2019,32,7.3,no,no,no,no
Crash Landing on You,2019,16,9,yes,no,no,no
Level Up,2019,12,7.2,no,yes,no,no
Welcome 2 Life,2019,32,8.2,no,no,no,no
When the Camellia Blooms,2019,40,8.4,yes,no,no,no
Doctor Prisoner,2019,32,8.3,yes,no,no,no
Graceful Family,2019,16,8.2,no,yes,no,no
At Eighteen,2019,16,7.9,yes,yes,no,no
Diary of a Prosecutor,2019,16,8.1,yes,no,no,no
Beautiful World (Korean Drama),2019,16,8.5,no,no,no,no
Angel's Last Mission: Love,2019,16,8.4,yes,yes,no,no
Woman of 9.9 Billion,2019,32,7.5,no,no,no,no
Romance is a Bonus Book,2019,16,8.1,yes,no,no,no
Miss Lee (Korean Drama),2019,16,7.1,no,no,no,no
Vagabond,2019,16,8.5,yes,no,no,no
King Maker: The Change of Destiny,2020,21,7.7,no,no,no,no
More than Friends,2020,16,7.3,no,yes,no,no
Alice (Korean Drama),2020,16,7.4,no,yes,no,no
Kkondae Intern,2020,24,7.8,no,no,no,no
The World of the Married,2020,16,8.3,no,no,no,no
Man in a Veil,2020,105,7.1,no,no,no,no
Chip In,2020,8,7.8,no,no,no,no
Find Me in Your Memory,2020,16,8.2,no,no,no,no
She Knows Everything,2020,4,7.1,no,no,no,no
Brilliant Heritage,2020,122,7.3,no,no,no,no
When the Weather is Fine,2020,16,8.2,yes,yes,no,no
Lie After Lie,2020,16,8.3,no,yes,no,no
Do You Like Brahms?,2020,16,8,no,yes,no,no
True Beauty,2020,16,8.3,yes,yes,no,no
Kingdom Season 2,2020,6,8.9,no,no,no,no
A Piece of Your Mind,2020,12,8.1,no,yes,no,no
Into the Ring,2020,16,8.1,no,no,no,no
