Kdramas_dataset_modificado
title;release_year;episodes;ratings;original_network;netflix;viki;prime_video;disney_plus;hbo_max;apple_tv;disponible_en_chile
My Mister;2018;16;8.9;tvN;yes;yes;no;no;no;no;yes
Queen of Mystery 2;2018;16;7.9;KBS2;no;no;no;no;no;no;no
Just Dance;2018;16;7.9;KBS2;no;no;no;no;no;no;no
Hide and Seek (Korean Drama);2018;48;7.4;MBC;no;no;no;no;no;no;no
Jang-Geum, Oh My Grandma;2018;16;7.5;MBC;no;no;no;no;no;no;no
Witch's Love;2018;12;7.5;MBN;no;yes;no;no;no;no;yes
About Time (Korean Drama);2018;16;7.5;tvN;no;yes;no;no;no;no;yes
Goodbye to Goodbye;2018;40;7.9;MBC;no;no;no;no;no;no;no
What's Wrong With Secretary Kim?;2018;16;8.5;tvN;no;yes;no;no;no;no;yes
Suits (Korean Drama);2018;16;8.1;KBS2;no;no;no;no;no;no;no
Mysterious Personal Shopper;2018;103;7.0;KBS2;no;no;no;no;no;no;no
Mr. Sunshine;2018;24;8.8;tvN;yes;no;no;no;no;no;yes
Are You Human too?;2018;36;8.2;KBS2;yes;yes;no;no;no;no;yes
Ms. Hammurabi;2018;16;8.0;JTBC;no;no;no;no;no;no;no
Tempted (Korean Drama);2018;32;7.5;MBC;no;no;no;no;no;no;no
Encounter (Korean Drama);2018;16;8.1;tvN;yes;yes;no;no;no;no;yes
Fates & Furies;2018;40;7.3;SBS;no;no;no;no;no;no;no
The Good Witch;2018;40;7.8;SBS;no;no;no;no;no;no;no
That Man Oh Soo;2018;16;6.9;OCN;no;no;no;no;no;no;no
Mother of Mine;2019;108;7.7;KBS2;no;no;no;no;no;no;no
I Hate Going to Work;2019;12;7.3;KBS2;no;no;no;no;no;no;no
VIP (Korean Drama);2019;16;7.9;SBS;yes;yes;no;no;no;no;yes
Bad Love (Korean Drama);2019;129;7.0;MBC;no;no;no;no;no;no;no
Extraordinary You;2019;32;8.3;MBC;no;no;no;no;no;no;no
Doctor Detective;2019;16;7.6;SBS;no;no;no;no;no;no;no
Kingdom Season 1;2019;6;8.8;Netflix;no;no;no;no;no;no;no
Love With Flaws;2019;32;7.4;MBC;no;no;no;no;no;no;no
The Secret Life of My Secretary;2019;32;8.0;SBS;yes;yes;no;no;no;no;yes
My Country: The New Age;2019;16;8.4;JTBC;yes;no;no;no;no;no;yes
My Fellow Citizens;2019;36;7.5;KBS2;no;no;no;no;no;no;no
Voice 3;2019;16;8.4;OCN;yes;no;no;no;no;no;yes
Babel (Korean Drama);2019;17;7.2;TV Chosun;no;yes;no;no;no;no;yes
Home for Summer;2019;128;7.2;KBS1;no;no;no;no;no;no;no
Be Melodramatic;2019;16;8.3;JTBC;yes;yes;no;no;no;no;yes
Unasked Family;2019;123;7.3;KBS1;no;no;no;no;no;no;no
Gracious Revenge;2019;103;7.2;KBS2;no;no;no;no;no;no;no
The Tale of Nokdu;2019;32;8.3;KBS2;no;yes;no;no;no;no;yes
Want a Taste?;2019;120;6.9;SBS;no;no;no;no;no;no;no
Item (Korean Drama);2019;32;7.3;MBC;no;no;no;no;no;no;no
Crash Landing on You;2019;16;9.0;tvN;yes;no;no;no;no;no;yes
Level Up;2019;12;7.2;MBN;no;yes;no;no;no;no;yes
Welcome 2 Life;2019;32;8.2;MBC;no;no;no;no;no;no;no
When the Camellia Blooms;2019;40;8.4;KBS2;yes;no;no;no;no;no;yes
Doctor Prisoner;2019;32;8.3;KBS2;yes;no;no;no;no;no;yes
Graceful Family;2019;16;8.2;MBN;no;yes;no;no;no;no;yes
At Eighteen;2019;16;7.9;JTBC;yes;yes;no;no;no;no;yes
Diary of a Prosecutor;2019;16;8.1;JTBC;yes;no;no;no;no;no;yes
Beautiful World (Korean Drama);2019;16;8.5;JTBC;no;no;no;no;no;no;no
Angel's Last Mission: Love;2019;16;8.4;KBS2;yes;yes;no;no;no;no;yes
Woman of 9.9 Billion;2019;32;7.5;KBS2;no;no;no;no;no;no;no
Romance is a Bonus Book;2019;16;8.1;tvN;yes;no;no;no;no;no;yes
Miss Lee (Korean Drama);2019;16;7.1;tvN;no;no;no;no;no;no;no
