Time;BTS;Coreano;Drama coreano;K-pop;Korean cuisine;Bias;Manhwa
01-07-2016;18;15;14;8;1;2;1
01-08-2016;15;14;14;7;0;3;1
01-09-2016;18;15;18;7;0;3;1
01-10-2016;27;16;18;7;0;3;1
01-11-2016;31;9;3;8;1;1;1
01-12-2016;47;14;2;10;1;1;2
01-01-2017;43;13;4;13;1;1;2
01-02-2017;46;16;5;12;1;1;2
01-03-2017;55;15;5;10;1;1;2
01-04-2017;34;16;4;10;1;1;2
01-05-2017;40;16;4;9;1;1;1
01-06-2017;39;16;4;10;1;1;2
01-07-2017;46;19;5;11;1;1;2
01-08-2017;44;17;4;10;0;0;2
01-09-2017;60;18;4;11;0;1;2
01-10-2017;54;16;3;11;0;0;2
01-11-2017;57;16;3;10;1;1;2
01-12-2017;82;20;4;22;1;1;2
01-01-2018;77;21;4;20;1;1;3
01-02-2018;69;20;10;15;1;1;3
01-03-2018;57;16;24;15;1;1;2
01-04-2018;60;16;21;13;2;1;2
01-05-2018;68;18;21;13;2;1;2
01-06-2018;65;18;21;13;2;1;1
01-07-2018;65;21;24;16;2;1;2
01-08-2018;72;17;22;15;1;1;2
01-09-2018;74;18;25;15;1;1;2
01-10-2018;67;17;20;13;1;1;2
01-11-2018;59;20;20;13;1;1;2
01-12-2018;74;24;21;18;1;1;3
01-01-2019;70;28;23;25;1;1;3
01-02-2019;69;27;24;17;0;2;4
01-03-2019;50;21;20;14;0;3;3
01-04-2019;49;20;16;10;0;4;3
01-05-2019;55;22;16;11;0;3;3
01-06-2019;54;24;15;12;0;3;4
01-07-2019;51;26;21;18;0;3;4
01-08-2019;47;24;13;14;1;3;4
01-09-2019;36;24;16;11;1;3;4
01-10-2019;33;22;14;12;0;3;4
01-11-2019;33;25;18;14;1;4;5
01-12-2019;47;26;12;40;1;3;5
01-01-2020;46;28;20;15;1;3;6
01-02-2020;46;30;20;13;1;2;7
01-03-2020;35;26;19;11;1;3;6
01-04-2020;46;34;19;13;1;4;8
01-05-2020;35;33;17;14;1;5;8
01-06-2020;43;37;17;14;1;5;9
01-07-2020;40;33;19;12;1;4;11
01-08-2020;46;35;18;12;1;4;11
01-09-2020;44;37;17;16;1;4;13
01-10-2020;44;31;16;14;1;4;14
01-11-2020;46;33;17;15;1;4;16
01-12-2020;43;37;22;15;1;3;17
01-01-2021;38;38;24;14;1;3;18
01-02-2021;36;36;23;14;2;2;20
01-03-2021;41;33;20;12;2;3;18
01-04-2021;45;29;20;12;2;4;19
01-05-2021;42;25;18;12;2;4;17
01-06-2021;43;28;19;13;2;3;19
01-07-2021;43;33;22;15;2;3;23
01-08-2021;39;30;20;16;2;3;21
01-09-2021;40;31;22;14;2;4;22
01-10-2021;37;36;21;14;2;4;23
01-11-2021;42;24;18;16;1;4;24
01-12-2021;52;25;20;19;2;3;26
01-01-2022;38;27;22;18;2;3;27
01-02-2022;65;28;21;17;3;3;31
01-03-2022;39;21;17;13;2;4;24
01-04-2022;41;22;17;13;2;5;23
01-05-2022;32;23;15;14;2;4;23
01-06-2022;39;23;16;13;2;5;23
01-07-2022;40;30;15;17;3;4;30
01-08-2022;26;31;14;15;2;4;24
01-09-2022;24;29;13;13;2;5;27
01-10-2022;32;31;13;14;2;4;29
01-11-2022;24;29;12;16;2;4;33
01-12-2022;27;32;13;16;2;4;45
01-01-2023;29;38;18;17;3;3;49
01-02-2023;27;38;15;18;3;2;47
01-03-2023;17;34;10;12;3;4;38
01-04-2023;18;35;13;16;3;4;36
01-05-2023;16;36;11;13;3;4;35
01-06-2023;19;39;12;15;3;5;42
01-07-2023;17;40;16;16;4;4;54
01-08-2023;14;35;14;13;3;4;51
01-09-2023;15;34;12;13;3;4;53
01-10-2023;13;30;12;11;3;4;48
01-11-2023;14;31;13;13;3;4;48
01-12-2023;18;39;14;16;3;3;55
01-01-2024;17;43;19;17;4;3;68
01-02-2024;19;33;14;14;3;2;62
01-03-2024;15;31;10;12;3;4;47
01-04-2024;16;30;10;12;3;4;46
01-05-2024;13;32;12;11;4;4;50
01-06-2024;16;31;11;13;3;4;49
01-07-2024;13;33;13;12;4;4;56
01-08-2024;15;33;13;11;4;4;57
01-09-2024;12;33;14;11;4;4;56
01-10-2024;11;31;12;9;5;4;52
01-11-2024;11;32;12;11;4;4;59
01-12-2024;14;39;14;14;5;3;71
01-01-2025;13;51;21;12;6;3;76
01-02-2025;11;46;19;15;5;3;84
01-03-2025;10;37;14;11;4;4;70
01-04-2025;10;35;14;12;4;5;59
01-05-2025;10;39;13;12;4;4;60
01-06-2025;17;41;18;18;4;4;68
01-07-2025;14;46;23;27;5;4;67
01-08-2025;13;42;18;32;4;5;67
01-09-2025;19;45;19;51;4;6;65
01-10-2025;13;41;17;78;3;5;54
01-11-2025;11;43;18;62;4;6;58
01-12-2025;14;49;21;60;4;5;71
01-01-2026;58;51;22;42;5;4;75
01-02-2026;22;54;20;44;6;4;77
01-03-2026;57;40;16;32;3;7;65
01-04-2026;100;43;17;28;5;9;60
01-05-2026;39;43;19;27;4;7;68
01-06-2026;30;42;19;27;6;6;62
